Run,Filename,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes,Bytes Sent,Bytes Received,Num Peers
1,A_10kB,10240,0.5035605430603027,20335.191351109755,10240,0,10240,1
2,A_10kB,10240,7.053210973739624,1451.821027064888,10240,0,10240,1
3,A_10kB,10240,5.0479090213775635,2028.562709160223,10240,0,10240,1
4,A_10kB,10240,5.034420490264893,2033.997759980754,10240,0,10240,1
5,A_10kB,10240,4.012329816818237,2552.133166390664,1459,549,910,1
6,A_10kB,10240,3.0092225074768066,3402.872328170277,898,661,237,1
7,A_10kB,10240,3.008356809616089,3403.851553535226,832,712,120,1
8,A_10kB,10240,3.0076632499694824,3404.636473216841,1891,946,945,1
9,A_10kB,10240,3.0114479064941406,3400.357674432156,1422,1099,323,1
10,A_10kB,10240,3.0093889236450195,3402.6841527671836,1254,796,458,1
11,A_10kB,10240,3.009829521179199,3402.1860467326883,2008,987,1021,1
12,A_10kB,10240,2.2442164421081543,4562.8397546097785,1272,736,536,1
13,A_10kB,10240,4.0126354694366455,2551.938763936024,824,418,406,1
14,A_10kB,10240,3.0151541233062744,3396.177966773819,2486,1211,1275,1
15,A_10kB,10240,3.0274977684020996,3382.3311471521342,1568,1043,525,1
16,A_10kB,10240,2.5245769023895264,4056.1252027251703,10240,0,10240,1
17,A_10kB,10240,3.030125617980957,3379.397850450553,10240,0,10240,1
18,A_10kB,10240,3.005988597869873,3406.53321415003,10240,0,10240,1
19,A_10kB,10240,3.0087051391601562,3403.4574763475734,10240,0,10240,1
20,A_10kB,10240,3.1656482219696045,3234.7245435972263,1398,437,961,1
21,A_10kB,10240,3.0078139305114746,3404.465913308242,1651,498,1153,1
22,A_10kB,10240,3.0091679096221924,3402.9340693340223,869,703,166,1
23,A_10kB,10240,3.0109734535217285,3400.8934844719324,333,223,110,1
24,A_10kB,10240,3.0058577060699463,3406.681553595044,1946,934,1012,1
25,A_10kB,10240,3.010901689529419,3400.974543808647,1293,1099,194,1
26,A_10kB,10240,3.0086348056793213,3403.5370396799967,456,323,133,1
27,A_10kB,10240,3.009429693222046,3402.638055663146,1543,547,996,1
28,A_10kB,10240,3.13623309135437,3265.063438118975,1350,876,474,1
29,A_10kB,10240,3.0116748809814453,3400.1014069164685,1503,1116,387,1
30,A_10kB,10240,3.010040283203125,3401.94782679225,1966,653,1313,1
31,A_10kB,10240,3.0158867835998535,3395.3529209664916,2362,1595,767,1
32,A_10kB,10240,3.0139386653900146,3397.5475737409893,806,409,397,1
33,A_10kB,10240,3.008425712585449,3403.773593997013,1861,837,1024,1
34,A_10kB,10240,3.0092666149139404,3402.8224515735856,1514,1117,397,1
35,A_10kB,10240,1.007826805114746,10160.475934983813,1603,591,1012,1
36,A_10kB,10240,1.0029189586639404,10210.196857422488,908,717,191,1
37,A_10kB,10240,0.06473088264465332,158193.4245546057,1244,932,312,1
38,A_10kB,10240,2.0078389644622803,5100.010599078286,1345,467,878,1
39,A_10kB,10240,1.0030193328857422,10209.175101878598,956,544,412,1
40,A_10kB,10240,1.0030124187469482,10209.245477531289,2079,1437,642,1
41,A_10kB,10240,1.0045180320739746,10193.943436593188,1686,483,1203,1
42,A_10kB,10240,1.009812593460083,10140.495440756036,946,750,196,1
43,A_10kB,10240,1.0062026977539062,10176.875914622588,2023,1468,555,1
44,A_10kB,10240,1.0033204555511475,10206.111061868989,1852,913,939,1
45,A_10kB,10240,1.019507884979248,10044.061601552434,1644,1142,502,1
46,A_10kB,10240,1.0030348300933838,10209.017366871141,1924,1588,336,1
47,A_10kB,10240,1.0064723491668701,10174.149352912067,1982,774,1208,1
48,A_10kB,10240,0.5082793235778809,20146.402824176617,10240,0,10240,1
49,A_10kB,10240,1.0095300674438477,10143.333349077859,10240,0,10240,1
50,A_10kB,10240,1.0252714157104492,9987.59922796084,10240,0,10240,1
51,A_10kB,10240,1.005364179611206,10185.3638787489,10240,0,10240,1
52,A_10kB,10240,1.0029494762420654,10209.886183268258,10240,0,10240,1
53,A_10kB,10240,1.0940165519714355,9360.004637541684,1415,388,1027,1
54,A_10kB,10240,1.0038652420043945,10200.572319402183,659,400,259,1
55,A_10kB,10240,1.0034756660461426,10204.532453036221,2147,1195,952,1
56,A_10kB,10240,1.0029797554016113,10209.577954940594,1753,804,949,1
57,A_10kB,10240,1.0030364990234375,10209.000380314901,1943,1358,585,1
58,A_10kB,10240,1.0029211044311523,10210.175012528063,2005,752,1253,1
59,A_10kB,10240,1.0051631927490234,10187.40048767066,2063,717,1346,1
60,A_10kB,10240,1.0044119358062744,10195.020225222648,977,728,249,1
61,A_10kB,10240,1.0051004886627197,10188.036037694359,1547,1153,394,1
62,A_10kB,10240,1.003460168838501,10204.690049484214,1647,407,1240,1
63,A_10kB,10240,1.003007173538208,10209.29886660469,836,616,220,1
64,A_10kB,10240,1.0032713413238525,10206.610692664612,2330,1697,633,1
65,A_10kB,10240,1.0024559497833252,10214.912687398697,1785,752,1033,1
66,A_10kB,10240,1.0025577545166016,10213.875414027765,797,378,419,1
67,A_10kB,10240,1.0034103393554688,10205.196815669218,2103,1443,660,1
68,A_10kB,10240,1.0041389465332031,10197.791884632772,1665,1400,265,1
69,A_10kB,10240,2.006864547729492,5102.486867678856,1668,1012,656,1
70,A_10kB,10240,1.0037767887115479,10201.471198735435,1270,954,316,1
71,A_10kB,10240,1.0035877227783203,10203.39305432285,1485,609,876,1
72,A_10kB,10240,1.0067379474639893,10171.465201838218,1913,1303,610,1
73,A_10kB,10240,1.0038182735443115,10201.049602179788,314,294,20,1
74,A_10kB,10240,1.003814935684204,10201.083522452649,1017,719,298,1
75,A_10kB,10240,1.0029094219207764,10210.293946973106,2000,1474,526,1
76,A_10kB,10240,1.002737283706665,10212.046730871882,314,294,20,1
77,A_10kB,10240,1.0056207180023193,10182.765546380064,746,676,70,1
78,A_10kB,10240,1.0045874118804932,10193.23941241876,1622,715,907,1
79,A_10kB,10240,1.004767894744873,10191.40843726909,314,294,20,1
80,A_10kB,10240,1.0036556720733643,10202.70226625241,807,561,246,1
81,A_10kB,10240,1.0025477409362793,10213.977431575342,724,618,106,1
82,A_10kB,10240,1.0030341148376465,10209.02464684112,1766,1101,665,1
83,A_10kB,10240,1.0030958652496338,10208.39618100872,1386,425,961,1
84,A_10kB,10240,1.160149097442627,8826.451722948827,1415,851,564,1
85,A_10kB,10240,1.0034208297729492,10205.09012386864,1541,805,736,1
86,A_10kB,10240,1.0069606304168701,10169.215846860625,955,536,419,1
87,A_10kB,10240,1.0038621425628662,10200.60381384362,795,270,525,1
88,A_10kB,10240,1.004472255706787,10194.408000641813,1281,300,981,1
89,A_10kB,10240,1.0031819343566895,10207.52034033249,1280,739,541,1
90,A_10kB,10240,1.0026609897613525,10212.82378048563,887,728,159,1
91,A_10kB,10240,1.0026512145996094,10212.923348513728,1662,806,856,1
92,A_10kB,10240,1.0029468536376953,10209.91288108582,1423,933,490,1
93,A_10kB,10240,1.0030767917633057,10208.59029347009,825,394,431,1
94,A_10kB,10240,1.0049052238464355,10190.015692031893,2013,890,1123,1
95,A_10kB,10240,1.0155186653137207,10083.517270297136,1126,684,442,1
96,A_10kB,10240,1.003608226776123,10203.184596138486,1223,1004,219,1
97,A_10kB,10240,1.0068931579589844,10169.89729154275,1804,672,1132,1
98,A_10kB,10240,1.004181146621704,10197.363328767635,1653,741,912,1
99,A_10kB,10240,1.0043697357177734,10195.44858416306,972,872,100,1
100,A_10kB,10240,1.5035638809204102,6810.485493793293,10240,0,10240,1
101,A_10kB,10240,1.0039830207824707,10199.375674719367,10240,0,10240,1
102,A_10kB,10240,1.0041632652282715,10197.544915838154,10240,0,10240,1
103,A_10kB,10240,1.0024898052215576,10214.567715964837,10240,0,10240,1
104,A_10kB,10240,1.0026788711547852,10212.641648872677,10240,0,10240,1
105,A_10kB,10240,1.0042345523834229,10196.821027215867,10240,0,10240,1
106,A_10kB,10240,1.0029470920562744,10209.910454005727,10240,0,10240,1
107,A_10kB,10240,1.002798080444336,10211.427604112181,10240,0,10240,1
108,A_10kB,10240,1.0037684440612793,10201.556006850178,10240,0,10240,1
109,A_10kB,10240,1.0055088996887207,10183.897927875165,10240,0,10240,1
110,A_10kB,10240,1.0036609172821045,10202.648946149795,10240,0,10240,1
111,A_10kB,10240,1.0026445388793945,10212.991347307126,10240,0,10240,1
112,A_10kB,10240,1.0047178268432617,10191.91630367823,10240,0,10240,1
113,A_10kB,10240,1.0028066635131836,10211.340204028647,10240,0,10240,1
114,A_10kB,10240,1.0027711391448975,10211.701952982066,10240,0,10240,1
115,A_10kB,10240,1.009394645690918,10144.694192419505,10240,0,10240,1
116,A_10kB,10240,2.005585193634033,5105.74172191886,1250,763,487,1
117,A_10kB,10240,1.0069634914398193,10169.186953698001,1304,1055,249,1
118,A_10kB,10240,1.0024316310882568,10215.160498161138,1797,1031,766,1
119,A_10kB,10240,1.0041279792785645,10197.903266630545,436,368,68,1
120,A_10kB,10240,1.0090630054473877,10148.028363659905,1060,533,527,1
121,A_10kB,10240,1.0032901763916016,10206.41908089724,1878,942,936,1
122,A_10kB,10240,1.0021288394927979,10218.246992255723,1849,1082,767,1
123,A_10kB,10240,1.0037453174591064,10201.791053851854,736,600,136,1
124,A_10kB,10240,1.003652572631836,10202.733773847736,1745,846,899,1
125,A_10kB,10240,1.0042905807495117,10196.252156778957,1481,1239,242,1
126,A_10kB,10240,1.0040931701660156,10198.256799522827,1369,848,521,1
127,A_10kB,10240,1.0050532817840576,10188.51456494237,1440,566,874,1
128,A_10kB,10240,1.0038857460021973,10200.363976457524,1641,1281,360,1
129,A_10kB,10240,1.003166913986206,10207.673177048982,1002,803,199,1
130,A_10kB,10240,1.0059170722961426,10179.765591040032,1688,696,992,1
131,A_10kB,10240,1.1545984745025635,8868.884054616223,1321,920,401,1
132,A_10kB,10240,1.0061089992523193,10177.823682731952,1353,608,745,1
133,A_10kB,10240,1.0040171146392822,10199.0293299721,1702,724,978,1
134,A_10kB,10240,1.0051541328430176,10187.492311290389,660,551,109,1
135,A_10kB,10240,1.0030064582824707,10209.306146976145,1975,852,1123,1
136,A_10kB,10240,1.0032436847686768,10206.892059690454,1721,656,1065,1
137,A_10kB,10240,1.003260850906372,10206.717416262098,994,890,104,1
138,A_10kB,10240,1.0031511783599854,10207.833296613375,1725,897,828,1
139,A_10kB,10240,1.0026416778564453,10213.020489924345,1749,725,1024,1
140,A_10kB,10240,1.0077157020568848,10161.596151671318,789,565,224,1
141,A_10kB,10240,1.0054676532745361,10184.315692952518,1860,971,889,1
142,A_10kB,10240,1.0054223537445068,10184.774549584105,1931,1176,755,1
143,A_10kB,10240,1.00309157371521,10208.439855668912,1369,973,396,1
144,A_10kB,10240,1.0027334690093994,10212.085580544248,1485,696,789,1
145,A_10kB,10240,1.0028746128082275,10210.648339502957,1119,428,691,1
146,A_10kB,10240,1.0029711723327637,10209.66532486,1026,760,266,1
147,A_10kB,10240,1.505248785018921,6802.86215934151,10240,0,10240,1
148,A_10kB,10240,1.0028855800628662,10210.536678928122,10240,0,10240,1
149,A_10kB,10240,1.0042314529418945,10196.85249849717,10240,0,10240,1
150,A_10kB,10240,1.0041744709014893,10197.431120517458,10240,0,10240,1
151,A_10kB,10240,1.0029418468475342,10209.963850034339,10240,0,10240,1
152,A_10kB,10240,1.0024306774139404,10215.170216475257,10240,0,10240,1
153,A_10kB,10240,1.0031766891479492,10207.573711364217,728,597,131,1
154,A_10kB,10240,1.0037951469421387,10201.284625846332,745,502,243,1
155,A_10kB,10240,1.0033466815948486,10205.844288758919,10240,0,10240,1
156,A_10kB,10240,1.0023260116577148,10216.23691384043,10240,0,10240,1
157,A_10kB,10240,1.0031201839447021,10208.14869832635,10240,0,10240,1
158,A_10kB,10240,1.0020074844360352,10219.48454383395,10240,0,10240,1
159,A_10kB,10240,1.0024566650390625,10214.905399028876,314,294,20,1
160,A_10kB,10240,1.003100872039795,10208.345227710817,560,415,145,1
161,A_10kB,10240,1.0031275749206543,10208.073485378933,10240,0,10240,1
162,A_10kB,10240,1.504822015762329,6804.791458883933,1985,719,1266,1
163,A_10kB,10240,1.0027837753295898,10211.573274242864,510,438,72,1
164,A_10kB,10240,0.5018570423126221,20404.217011308156,10240,0,10240,1
165,A_10kB,10240,1.0024597644805908,10214.873816213161,10240,0,10240,1
166,A_10kB,10240,1.00311279296875,10208.223912382111,10240,0,10240,1
167,A_10kB,10240,1.0026576519012451,10212.857779106213,10240,0,10240,1
168,A_10kB,10240,1.0033619403839111,10205.68908173049,10240,0,10240,1
169,A_10kB,10240,1.0220396518707275,10019.180744364314,10240,0,10240,1
170,A_10kB,10240,1.1687250137329102,8761.684638966884,919,539,380,1
171,A_10kB,10240,1.0064573287963867,10174.301191930237,1828,789,1039,1
172,A_10kB,10240,1.0026392936706543,10213.04477556574,1286,700,586,1
173,A_10kB,10240,1.0026357173919678,10213.081204244394,1253,744,509,1
174,A_10kB,10240,1.0033042430877686,10206.275983130881,1690,396,1294,1
175,A_10kB,10240,1.0031373500823975,10207.974011892677,1059,641,418,1
176,A_10kB,10240,1.0032975673675537,10206.343893434978,951,756,195,1
177,A_10kB,10240,1.0025732517242432,10213.717533745357,1903,1069,834,1
178,A_10kB,10240,1.0079388618469238,10159.346352849678,10240,0,10240,1
179,A_10kB,10240,1.0027720928192139,10211.692241265964,10240,0,10240,1
180,A_10kB,10240,1.0032570362091064,10206.75622539636,1424,862,562,1
181,A_10kB,10240,1.0032267570495605,10207.064283368323,845,417,428,1
182,A_10kB,10240,1.0029258728027344,10210.12646865289,10240,0,10240,1
183,A_10kB,10240,1.0033559799194336,10205.74970891412,1897,608,1289,1
184,A_10kB,10240,1.0037007331848145,10202.244216269271,1558,996,562,1
