Run,Filename,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes,Bytes Sent,Bytes Received,Num Peers,Overhead Ratio
1,A_10kB,10240,4.55579948425293,6743.053575159165,10240,10240,0,1,0.3333333333333333
2,A_10kB,10240,5.021164894104004,6118.102202951412,954,494,460,1,0.0310546875
3,A_10kB,10240,5.016193866729736,6124.165216929232,1187,583,604,1,0.03863932291666667
4,A_10kB,10240,5.0202553272247314,6119.210677075752,10240,10240,0,1,0.3333333333333333
5,A_10kB,10240,5.102825880050659,6020.193657812017,716,510,206,1,0.023307291666666667
6,A_10kB,10240,5.01711630821228,6123.03923465276,10240,10240,0,1,0.3333333333333333
7,A_10kB,10240,5.021173715591431,6118.091454316786,1844,1313,531,1,0.06002604166666667
8,A_10kB,10240,5.016650915145874,6123.6072670020985,10240,10240,0,1,0.3333333333333333
9,A_10kB,10240,5.016131401062012,6124.241480894218,2189,1243,946,1,0.07125651041666667
10,A_10kB,10240,5.258037805557251,5842.48366710712,2207,1600,607,1,0.07184244791666666
11,A_10kB,10240,5.0137457847595215,6127.155487895055,6208,3503,2705,1,0.20208333333333334
12,A_10kB,10240,5.016752243041992,6123.483582950951,6069,3713,2356,1,0.19755859375
13,A_10kB,10240,5.022584915161133,6116.372449427159,2960,1918,1042,1,0.09635416666666667
14,A_10kB,10240,5.019254684448242,6120.430607991153,3381,2549,832,1,0.11005859375
15,A_10kB,10240,2.510828733444214,12235.004160502827,1158,1029,129,1,0.0376953125
16,A_10kB,10240,5.169241666793823,5942.844614392697,2704,1733,971,1,0.08802083333333334
17,A_10kB,10240,5.011144399642944,6130.336216651204,937,812,125,1,0.030501302083333334
18,A_10kB,10240,5.009867906570435,6131.89820029202,1127,734,393,1,0.03668619791666667
19,A_10kB,10240,5.018818378448486,6120.962681557877,2005,1325,680,1,0.06526692708333333
20,A_10kB,10240,5.017979383468628,6121.986092889268,1165,836,329,1,0.037923177083333336
21,A_10kB,10240,5.154427766799927,5959.92443581612,2906,1398,1508,1,0.09459635416666666
22,A_10kB,10240,5.014261960983276,6126.524748614437,2363,1994,369,1,0.07692057291666667
23,A_10kB,10240,5.026490211486816,6111.620376738611,6691,3805,2886,1,0.21780598958333333
24,A_10kB,10240,5.018826246261597,6120.9530859695715,3174,2407,767,1,0.1033203125
25,A_10kB,10240,5.013731479644775,6127.172969816988,6401,3593,2808,1,0.20836588541666667
26,A_10kB,10240,5.087394714355469,6038.454203939624,3687,2315,1372,1,0.12001953125
27,A_10kB,10240,5.012276887893677,6128.951110861226,8863,4857,4006,1,0.28850911458333334
28,A_10kB,10240,5.066640138626099,6063.189640369885,8043,5086,2957,1,0.26181640625
29,A_10kB,10240,5.020142078399658,6119.348719666725,10255,6206,4049,1,0.3338216145833333
