Run,Filename,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes,Bytes Sent,Bytes Received,Num Peers
1,B_10kB,10240,4.52006983757019,2265.451722645201,10240,0,10240,1
2,B_10kB,10240,6.022500276565552,1700.2904989220788,10240,0,10240,1
3,B_10kB,10240,5.009460687637329,2044.1322207140847,10240,0,10240,1
4,B_10kB,10240,4.103789567947388,2495.25464950236,10240,0,10240,1
5,B_10kB,10240,3.009222984313965,3402.8717889560085,10240,0,10240,1
6,B_10kB,10240,3.008552312850952,3403.6303627695315,1121,739,382,1
7,B_10kB,10240,3.0150527954101562,3396.292103272105,1222,1036,186,1
8,B_10kB,10240,3.0076680183410645,3404.6310754895294,1033,643,390,1
9,B_10kB,10240,3.016545295715332,3394.6117151115827,1382,589,793,1
10,B_10kB,10240,3.0088248252868652,3403.3220923799395,913,737,176,1
11,B_10kB,10240,3.0083975791931152,3403.805424795774,10384,144,10240,1
12,B_10kB,10240,3.257086753845215,3143.9138020843247,1569,533,1036,1
13,B_10kB,10240,3.0076794624328613,3404.618121013812,1115,803,312,1
14,B_10kB,10240,3.006070852279663,3406.440001982809,1245,679,566,1
15,B_10kB,10240,3.0235729217529297,3386.7216915222652,1655,794,861,1
16,B_10kB,10240,3.0066938400268555,3405.7341867266864,1374,1113,261,1
17,B_10kB,10240,3.0101370811462402,3401.8384292653795,1257,968,289,1
18,B_10kB,10240,3.0108847618103027,3400.9936646805345,1689,759,930,1
19,B_10kB,10240,3.012319326400757,3399.3740007090064,1661,677,984,1
20,B_10kB,10240,2.6635489463806152,3844.494772252902,10240,0,10240,1
21,B_10kB,10240,3.0088915824890137,3403.2465840890395,10240,0,10240,1
22,B_10kB,10240,3.011200189590454,3400.6374054435473,10240,0,10240,1
23,B_10kB,10240,3.0121588706970215,3399.5550831057053,10240,0,10240,1
24,B_10kB,10240,3.0108962059020996,3400.980737870363,10240,0,10240,1
25,B_10kB,10240,3.0106358528137207,3401.274847115689,10240,0,10240,1
26,B_10kB,10240,3.009044885635376,3403.0731973736474,10240,0,10240,1
27,B_10kB,10240,3.0127456188201904,3398.8930017961643,10240,0,10240,1
28,B_10kB,10240,4.012880325317383,2551.7830510408025,1721,1052,669,1
29,B_10kB,10240,3.0099565982818604,3402.0424101281674,1830,1542,288,1
30,B_10kB,10240,3.0160071849823,3395.217375803465,10240,0,10240,1
