Run,Filename,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes,Bytes Sent,Bytes Received,Num Peers,Overhead Ratio
1,B_10kB,10240,4.5491228103637695,6752.950245707586,10240,10240,0,1,0.3333333333333333
2,B_10kB,10240,5.016248941421509,6124.097978138729,1275,1031,244,1,0.04150390625
3,B_10kB,10240,5.015690803527832,6124.779457775349,880,711,169,1,0.028645833333333332
4,B_10kB,10240,5.012048721313477,6129.230122876658,10240,10240,0,1,0.3333333333333333
5,B_10kB,10240,5.105159044265747,6017.442303684062,10240,10240,0,1,0.3333333333333333
6,B_10kB,10240,5.015408992767334,6125.123602940652,774,499,275,1,0.0251953125
7,B_10kB,10240,5.01897120475769,6120.776299907687,10240,10240,0,1,0.3333333333333333
8,B_10kB,10240,5.011998653411865,6129.291351482643,1297,933,364,1,0.042220052083333334
9,B_10kB,10240,5.01692533493042,6123.272313046305,10240,10240,0,1,0.3333333333333333
10,B_10kB,10240,5.25962233543396,5840.723542646786,1540,1122,418,1,0.050130208333333336
11,B_10kB,10240,5.019097805023193,6120.621911223753,4590,2791,1799,1,0.1494140625
12,B_10kB,10240,5.017788410186768,6122.219091110812,4352,2598,1754,1,0.14166666666666666
13,B_10kB,10240,5.0260889530181885,6112.108298750364,4814,2625,2189,1,0.15670572916666667
14,B_10kB,10240,5.015326261520386,6125.224641056013,3857,2204,1653,1,0.12555338541666666
15,B_10kB,10240,2.5128135681152344,12225.339909733893,1404,884,520,1,0.045703125
16,B_10kB,10240,5.1688926219940186,5943.245922595516,1819,1370,449,1,0.05921223958333333
17,B_10kB,10240,5.010875463485718,6130.665234819113,10240,10240,0,1,0.3333333333333333
18,B_10kB,10240,5.017350435256958,6122.753512318042,681,402,279,1,0.02216796875
19,B_10kB,10240,5.009128570556641,6132.803254556158,1238,696,542,1,0.040299479166666666
20,B_10kB,10240,5.021567344665527,6117.611871248572,2380,1647,733,1,0.07747395833333333
21,B_10kB,10240,5.149728298187256,5965.363262138252,2003,1348,655,1,0.06520182291666667
22,B_10kB,10240,5.017544746398926,6122.516400486042,4495,2424,2071,1,0.14632161458333334
23,B_10kB,10240,5.026135444641113,6112.051761906614,2422,1585,837,1,0.07884114583333333
24,B_10kB,10240,5.01357889175415,6127.359449858321,5540,3213,2327,1,0.18033854166666666
25,B_10kB,10240,5.017316818237305,6122.794535983203,5497,3355,2142,1,0.17893880208333332
26,B_10kB,10240,5.079436302185059,6047.91519617737,4292,2899,1393,1,0.13971354166666666
27,B_10kB,10240,5.01276969909668,6128.348566569069,5068,3399,1669,1,0.16497395833333334
28,B_10kB,10240,5.024328231811523,6114.250220655646,4662,3280,1382,1,0.1517578125
29,B_10kB,10240,4.524899244308472,6789.101445438893,5703,3953,1750,1,0.18564453125
30,B_10kB,10240,3.0121450424194336,10198.712069763045,2975,1866,1109,1,0.09684244791666667
31,B_10kB,10240,5.090383529663086,6034.908729565461,4492,2649,1843,1,0.14622395833333332
32,B_10kB,10240,5.096379995346069,6027.807979007256,4619,2493,2126,1,0.15035807291666667
33,B_10kB,10240,5.017886638641357,6122.099244617002,4065,2936,1129,1,0.13232421875
34,B_10kB,10240,5.054940462112427,6077.222912960346,3468,2589,879,1,0.112890625
35,B_10kB,10240,5.0340046882629395,6102.497296362353,5016,3440,1576,1,0.16328125
36,B_10kB,10240,5.028970241546631,6108.60643918868,5233,3373,1860,1,0.17034505208333334
37,B_10kB,10240,2.7095015048980713,11337.878921442289,258,258,0,1,0.0083984375
38,B_10kB,10240,5.089111566543579,6036.417083476203,1612,980,632,1,0.052473958333333334
39,B_10kB,10240,5.026227712631226,6111.9395611143345,1359,881,478,1,0.04423828125
40,B_10kB,10240,5.034965753555298,6101.3324625510995,1744,1006,738,1,0.05677083333333333
41,B_10kB,10240,5.019653081893921,6119.94484455673,779,338,441,1,0.025358072916666665
42,B_10kB,10240,5.178185939788818,5932.579547588214,10240,10240,0,1,0.3333333333333333
43,B_10kB,10240,5.0252861976623535,6113.084666558938,2467,1817,650,1,0.08030598958333333
44,B_10kB,10240,5.05269980430603,6079.917903260291,3173,2415,758,1,0.10328776041666667
45,B_10kB,10240,5.016733407974243,6123.506573255352,3798,2192,1606,1,0.1236328125
46,B_10kB,10240,5.023461580276489,6115.305055903142,4451,2584,1867,1,0.14488932291666667
47,B_10kB,10240,5.018224239349365,6121.687380790098,3449,2022,1427,1,0.11227213541666667
