Filename,Direction,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes (B)
A_1MB,download,1048576,0.007999658584594727,131077593.98873425,1048825
A_1MB,download,1048576,0.008286237716674805,126544281.71785355,1048825
A_1MB,download,1048576,0.008001327514648438,131050253.60858165,1048825
A_1MB,download,1048576,0.007050991058349609,148713278.93095288,1048825
A_1MB,download,1048576,0.007989168167114258,131249709.36476767,1048825
A_1MB,download,1048576,0.008733510971069336,120063512.08277142,1048825
A_1MB,download,1048576,0.008937835693359375,117318782.30644473,1048825
A_1MB,download,1048576,0.008921623229980469,117531975.17648317,1048825
A_1MB,download,1048576,0.0070040225982666016,149710539.23491168,1048825
A_1MB,download,1048576,0.0069925785064697266,149955556.3130008,1048825
